label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,14,15,120,32,246.png,892,382
w/l,46,95,55,17,246.png,892,382
player,83,122,47,18,246.png,892,382
class,48,118,29,29,246.png,892,382
player,83,154,71,15,246.png,892,382
class,48,150,29,29,246.png,892,382
player,83,183,74,16,246.png,892,382
class,48,179,29,29,246.png,892,382
player,83,214,49,16,246.png,892,382
class,48,210,29,29,246.png,892,382
player,84,245,90,13,246.png,892,382
class,49,241,29,29,246.png,892,382
w/l,46,275,52,15,246.png,892,382
player,83,303,61,16,246.png,892,382
class,48,299,29,29,246.png,892,382
