label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,27,23,215,58,244.png,1594,950
w/l,84,170,97,27,244.png,1594,950
player,152,223,102,25,244.png,1594,950
class,89,215,53,53,244.png,1594,950
player,152,278,105,21,244.png,1594,950
class,89,270,53,53,244.png,1594,950
player,152,332,99,24,244.png,1594,950
class,89,324,53,53,244.png,1594,950
player,152,386,82,24,244.png,1594,950
class,89,378,53,53,244.png,1594,950
player,152,438,106,25,244.png,1594,950
class,89,430,53,53,244.png,1594,950
player,152,493,119,20,244.png,1594,950
class,89,485,53,53,244.png,1594,950
w/l,84,547,91,22,244.png,1594,950
player,152,601,71,20,244.png,1594,950
class,89,593,53,53,244.png,1594,950
player,152,655,50,21,244.png,1594,950
class,89,647,53,53,244.png,1594,950
player,152,707,105,21,244.png,1594,950
class,89,699,53,53,244.png,1594,950
player,152,762,134,24,244.png,1594,950
class,89,754,53,53,244.png,1594,950
player,152,816,51,20,244.png,1594,950
class,89,808,53,53,244.png,1594,950
