label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,14,18,155,43,uihsdfiusfd.png,1186,538
w/l,51,125,73,21,uihsdfiusfd.png,1186,538
player,101,163,79,21,uihsdfiusfd.png,1186,538
class,54,157,39,39,uihsdfiusfd.png,1186,538
player,101,204,53,18,uihsdfiusfd.png,1186,538
class,54,198,39,39,uihsdfiusfd.png,1186,538
player,101,244,45,17,uihsdfiusfd.png,1186,538
class,54,238,39,39,uihsdfiusfd.png,1186,538
player,101,283,84,17,uihsdfiusfd.png,1186,538
class,54,277,39,39,uihsdfiusfd.png,1186,538
w/l,51,324,69,18,uihsdfiusfd.png,1186,538
player,101,362,35,20,uihsdfiusfd.png,1186,538
class,54,356,39,39,uihsdfiusfd.png,1186,538
player,101,402,48,18,uihsdfiusfd.png,1186,538
class,54,396,39,39,uihsdfiusfd.png,1186,538
player,102,443,120,16,uihsdfiusfd.png,1186,538
class,55,437,39,39,uihsdfiusfd.png,1186,538
